date,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov9,sv1,sv2,sv3,sv4,sv5,sv6
0,0.564538161,0.426382895,0.187905234,0.562666667,0.618995831,0.61278036,0.529775126,0.965139442,0.959959231,-16.3312,-16.4454,121.4,338.6,87.652,337.192
0,0.566307421,0.432411953,0.189688825,0.587333333,0.603226391,0.593864401,0.529648199,0.965139442,0.959959231,-16.3556,-16.457,121.6,338.4,87.716,336.9208
0,0.549992876,0.438473956,0.191887466,0.619333333,0.586006888,0.564942818,0.529648199,0.965139442,0.959959231,-16.3634,-16.4658,118.2,338.2,87.836,336.748
0,0.543505856,0.444503015,0.193671056,0.640666667,0.567337321,0.534698993,0.530293415,0.965139442,0.959959231,-16.3654,-16.4736,111.2,334.8,87.988,336.7888
0,0.595727212,0.448522387,0.195320037,0.648333333,0.548667754,0.513730598,0.530166487,0.965139442,0.959959231,-16.3508,-16.4452,104.4,330,88.188,337.0246
0,0.668654066,0.444107666,0.193267225,0.649333333,0.563712162,0.563008792,0.530293415,0.965139442,0.959959231,-16.294,-16.4082,97.8,327,88.344,337.8032
0,0.736338339,0.440911936,0.192167904,0.636333333,0.581294182,0.631202944,0.53054727,0.965139442,0.959959231,-16.2032,-16.3654,92,323.8,88.52,339.1288
0,0.760319143,0.43646427,0.189969264,0.607666667,0.599419975,0.708198889,0.531054981,0.965139442,0.959959231,-16.1066,-16.3078,89.2,318.8,88.708,341.0678
0,0.778665359,0.426811188,0.18599825,0.576333333,0.636215334,0.747481326,0.531054981,0.965139442,0.959959231,-16.0148,-16.2258,89,336.6949481,88.892,343.5618
0,0.759008699,0.415939116,0.181477576,0.556,0.671198115,0.786043437,0.530790548,0.965139442,0.959959231,-15.9358,-16.1742,89.2,357.1898963,89.02,346.7588
0,0.702790006,0.410700754,0.179155543,0.544,0.691861519,0.775800993,0.531054981,0.965139442,0.959959231,-15.885,-16.142,89,375.8848444,89.2,350.7914
0,0.615580278,0.403848055,0.176822292,0.535666667,0.711437375,0.747481326,0.530928053,0.965139442,0.959959231,-15.882,-16.1166,88.4,392.9797926,89.324,355.3014
0,0.594875584,0.442747426,0.225102255,0.524666667,0.638209172,0.667305573,0.53054727,0.965139442,0.959959231,-15.92,-16.0932,88,390.3797926,89.408,359.931
0,0.57888865,0.468477997,0.235231706,0.519666667,0.547036433,0.560914407,0.530293415,0.965139442,0.959959231,-15.9512,-16.0736,87.6,369.6848444,89.464,364.4558
0,0.563949749,0.491803533,0.245495767,0.511333333,0.456588726,0.454158143,0.530293415,0.965139442,0.959959231,-15.9492,-16.0482,87.2,349.1898963,89.592,368.81
0,0.559101589,0.520367431,0.256589927,0.495,0.365053471,0.345487589,0.529775126,0.965139442,0.959959231,-15.8906,-16.0344,87,329.6949481,89.592,372.2828
0,0.568537108,0.546921643,0.266450157,0.477666667,0.273699474,0.236698625,0.530166487,0.965139442,0.959959231,-15.7998,-16.0264,87.4,312.2,89.488,375.1216
0,0.579675882,0.528547425,0.226796491,0.472,0.274787022,0.169395025,0.529902054,0.965139442,0.959959231,-15.705,-16.0264,88.2,319,89.284,377.606
0,0.57875825,0.527361381,0.226796491,0.471666667,0.274424506,0.168191192,0.53015591,0.965139442,0.959959231,-15.6386,-16.0468,89.6,325.4,88.996,379.9858
0,0.57391009,0.520541627,0.222421645,0.479666667,0.311582382,0.196866088,0.530028982,0.965139442,0.959959231,-15.6288,-16.078,91.8,330.6,88.528,382.4614
0,0.563622943,0.507659869,0.217900971,0.496333333,0.348015226,0.225540985,0.531192486,0.965139442,0.959959231,-15.6816,-16.1142,95.2,334.2,88.096,385.2146
0,0.570175163,0.496392449,0.213245687,0.518333333,0.381547943,0.254936207,0.530282837,0.965139442,0.959959231,-15.7626,-16.1388,99.8,336.4,87.716,388.3548
0,0.586948525,0.483906039,0.20873623,0.536333333,0.417980787,0.285426719,0.53015591,0.965139442,0.959959231,-15.8252,-16.165,106.2,337.2,87.384,391.7718
0,0.605557152,0.467795605,0.202028134,0.537666667,0.482871126,0.354459607,0.530028982,0.965139442,0.959959231,-15.8506,-16.1836,113.8,339.6,87.064,395.4616
0,0.612894995,0.460942905,0.199425661,0.536333333,0.510422331,0.384348204,0.529775126,0.965139442,0.959959231,-15.8154,-16.2002,122.2,346.6,86.764,399.4038
0,0.623182141,0.453299509,0.196004308,0.533,0.535254667,0.414463752,0.528865478,0.965139442,0.959959231,-15.7284,-16.1846,128.4,356.2,86.452,403.4534
0,0.628030301,0.444865417,0.194086106,0.531,0.565524742,0.44446089,0.529510694,0.965139442,0.959959231,-15.5946,-16.1562,129.4,368,86.128,407.4902
0,0.609422479,0.438045663,0.192022076,0.539666667,0.592169657,0.475059945,0.528992405,0.965139442,0.959959231,-15.449,-16.1192,124.6,383,85.8,411.4126
0,0.602083831,0.436859618,0.191472416,0.566,0.591807142,0.465182598,0.52873855,0.965139442,0.959959231,-15.2712,-16.0176,116.4,398,85.488,414.9722
0,0.620627258,0.434454584,0.191472416,0.597666667,0.589450788,0.465182598,0.529256838,0.965139442,0.959959231,-15.1364,-15.7812,106.4,409.4,86.164,407.7202
0,0.639825102,0.43083056,0.190507706,0.630333333,0.600145006,0.47891813,0.529129911,0.964285714,0.958648806,-15.0114,-15.5272,96.8,418.2,85.852,410.3262
0,0.649325822,0.427601884,0.189273776,0.658,0.607576581,0.506389193,0.529267416,0.952191235,0.944962143,-14.8708,-15.2654,90.2,423.4,85.528,410.9266
0,0.671799776,0.42519685,0.187501402,0.678333333,0.617908283,0.526025478,0.529658776,0.937962436,0.930401864,-14.7292,-14.988,87.4,425,85.22,410.5498
0,0.679334829,0.423977861,0.187232181,0.698,0.627152438,0.546145269,0.530039559,0.923733637,0.915841584,-14.6256,-14.7752,86.2,425.2,84.908,410.353
0,0.664853939,0.422363523,0.18599825,0.712333333,0.637121624,0.566866977,0.530039559,0.909504838,0.901281305,-14.5338,-14.7088,85.6,424.6,83.596,417.286
0,0.658760536,0.422791816,0.18544859,0.723666667,0.644190683,0.582526667,0.53043092,0.896129767,0.88803145,-14.5094,-14.6874,86.2,423.4,83.3,412.8318
0,0.658171319,0.421572826,0.184495098,0.732,0.652528548,0.583730499,0.53043092,0.893995447,0.887157833,-14.5132,-14.662,88,422.4,83.244,410.2162
0,0.645525695,0.420749185,0.184764319,0.739666667,0.662135218,0.593736124,0.530949208,0.893995447,0.887157833,-14.4946,-14.572,90.6,420.8,83.236,407.2178
0,0.639366286,0.419134847,0.184764319,0.752,0.66811673,0.603613471,0.53121364,0.893853159,0.885993011,-14.4722,-14.4722,94.6,421,83.376,403.2338
0,0.660005779,0.420749185,0.185313979,0.776666667,0.676817111,0.611438383,0.531594424,0.883892999,0.872597554,-14.4342,-14.354,100,423.8,83.672,401.4084
0,0.648145778,0.423154219,0.186682521,0.790666667,0.679173464,0.613372409,0.531594424,0.869521912,0.855125218,-14.3844,-14.2386,107,427.6,84.108,400.5814
0,0.629405945,0.425987547,0.187366792,0.795333333,0.678267174,0.595423463,0.531594424,0.855150825,0.837652883,-14.3668,-14.1458,115.4,432,84.444,399.2542
0,0.718777745,0.430006919,0.1864133,0.796,0.6777234,0.575777311,0.531467496,0.840779738,0.820180547,-14.3874,-14.1772,125,435.2,84.736,399.3496
0,0.722185061,0.46890629,0.233728554,0.784333333,0.655842279,0.552477711,0.531467496,0.826550939,0.803873034,-14.4156,-14.23,136,432.6,84.856,402.0516
0,0.740793688,0.476945034,0.236600248,0.779666667,0.618865661,0.543083871,0.53121364,0.822140011,0.799796156,-14.4458,-14.2886,148.8,424,84.904,405.234
0,0.750491618,0.485379127,0.239348548,0.804666667,0.572644889,0.513205142,0.531985784,0.822140011,0.799796156,-14.4576,-14.3512,160,410,84.852,408.2652
0,0.710523075,0.495822905,0.24291573,0.843333333,0.529324244,0.48259622,0.532112712,0.822140011,0.799796156,-14.447,-14.4332,165,392.6,84.752,410.8118
