date,PERIOD,P,I,N,A,IBP,D10,D30,D50,D70,D90,FBP,DEN,DS,FEED,DS_RATIO,COT,CIT,CIP,COP,H2,CH4,C2H4,C2H6,C3H6,C3H8
2020/1/28 21:00,0.790390707,38.32540143,39.84110807,15.27949079,6.543999561,34.72639681,63.18474566,84.10329005,102.0185108,123.4884201,171.4346591,209.8274208,712.3488841,21.29933779,38034.67369,0.55999791,817.9725566,592.6816508,197.2881886,46.03221579,13.81485225,27.55514679,32.33095265,3.763357524,10.72927354,0
2020/1/28 22:00,0.790918691,38.32093608,39.85957909,15.27735337,6.532132618,34.72322032,63.1861564,84.122848,102.0281975,123.4796021,171.4189283,209.8255109,712.3517558,21.31576592,38019.41789,0.560654715,818.0389463,592.7945312,197.3787651,46.18432312,13.78698434,27.5492219,32.33087248,3.749883109,10.742097,0
2020/1/28 23:00,0.791446674,38.32225444,39.86590379,15.27384389,6.527998217,34.71683489,63.18998375,84.13923696,102.0339906,123.4712738,171.4812088,209.819268,712.3536448,21.31529454,38036.2249,0.560394587,818.0033636,592.528263,197.2619548,46.17268464,13.78114561,27.55048889,32.33341774,3.738435038,10.74213296,0
2020/1/29 0:00,0.791974657,38.32047443,39.88301557,15.26033813,6.526171446,34.71205762,63.1915947,84.14515622,102.0237891,123.4601457,171.4724749,209.8328061,712.3529043,21.31438186,38035.44118,0.560382138,817.9855906,592.594801,197.0867092,46.18163807,13.78394323,27.54029679,32.32592926,3.750106054,10.73944393,0
2020/1/29 1:00,0.79250264,38.32756062,39.87723446,15.25104521,6.534160527,34.70820344,63.18741455,84.15081596,102.0177123,123.4350483,171.5839109,209.8366353,712.3487966,21.31720836,38035.90382,0.560449634,818.0013851,592.4610698,197.2494674,46.5201831,13.81308816,27.58016986,32.36307128,3.758431262,10.74032953,0
2020/1/29 2:00,0.793030623,38.33319174,39.89045862,15.24155186,6.524797535,34.70027002,63.19233532,84.16679637,102.0182785,123.4272746,171.6132304,209.849616,712.351825,21.32101684,38035.82475,0.560550928,818.0049886,592.4202622,197.1990353,46.48384407,13.8206262,27.59838616,32.39026626,3.762704142,10.7477773,0
2020/1/29 3:00,0.793558606,38.33179976,39.9021066,15.24557341,6.510520498,34.6948719,63.199882,84.19253438,102.0320049,123.4240543,171.6734604,209.8448659,712.3578837,21.32656769,38034.17698,0.560721156,818.0343927,592.3578083,197.3204435,46.54619185,13.80521631,27.56165062,32.35414028,3.7486414,10.73258413,0
2020/1/29 4:00,0.794086589,38.33045038,39.8948061,15.24720224,6.517541726,34.68594354,63.20740242,84.22037163,102.0425401,123.4135696,171.6538579,209.8316205,712.3641388,21.32456232,38033.92739,0.56067211,818.0001402,592.0062935,197.2545726,46.95532414,13.84449538,27.61988709,32.40797607,3.756667128,10.73632159,0
2020/1/29 5:00,0.794614572,38.36212591,39.87719282,15.24517865,6.505502788,34.6785134,63.20673974,84.24595133,102.0594326,123.4120154,171.7408986,209.8198702,712.3677582,21.32941172,38032.85471,0.560815429,818.0020967,592.5046839,197.4012755,46.78071108,13.8582346,27.62744896,32.4081622,3.737508137,10.73919318,0
2020/1/29 6:00,0.795142555,38.38068218,39.85251376,15.25237462,6.504429777,34.6772213,63.2127086,84.26571668,102.0710941,123.4217204,171.8054822,209.8090243,712.3731354,21.33083226,38037.34312,0.560786598,817.9739677,592.3876997,197.5349276,46.30267995,13.80547734,27.56623029,32.37478268,3.750122365,10.71937114,0
